ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
277.8954583,0.478280638,22.93976212,99,,,,,15.344,14.226,13.851,0.3,2.176544428,415,---
277.4637467,0.463490141,19.18130493,20.35384941,14.411,13.447,12.997,12.371,10.544,10.14,9.851,0.3,2.384798765,415,20.35384941
277.5271691,0.432384502,22.73765755,99,,,,,16.739,15.348,15.211,0.3,2.350797176,415,---
277.514666,0.395783132,21.64230347,23.64604187,,,,,13.226,12.344,11.619,0.3,2.41611743,415,23.64604187
277.7774307,0.353549742,22.73434067,24.17073441,,,,,16.661,15.07,15.055,0.3,2.263697863,415,24.17073441
277.7069661,0.374616743,20.16852951,99,,,,,15.013,13.861,13.446,0.3,2.404630661,415,---
277.4172422,0.253453568,22.52510834,22.58375549,,,,,15.389,14.785,14.159,0.3,2.577321291,415,22.58375549
273.7061359,1.066831267,21.73820496,23.34248161,,,,,16.088,15.481,15.384,0.3,0.760172367,415,23.34248161
274.0008181,1.001603036,21.63891029,26.12227249,,,,,13.027,12.526,12.29,0.3,0.852567554,415,26.12227249
270.1851868,-1.420468857,21.78273392,23.47341156,,,,,16.675,16.669,16.102,0.3,0.614081979,415,23.47341156
271.1918035,-1.136065052,21.69779587,22.52863121,,,,,16.105,15.409,14.981,0.3,0.669139147,415,22.52863121
270.9758029,-1.1545829,20.26200676,25.37615967,14.845,13.751,13.347,12.822,11.445,10.902,10.493,0.3,0.595725477,415,25.37615967
270.7329077,-0.283634596,21.20869064,99,15.491,14.501,14.105,13.803,12.952,11.945,11.816,0.3,0.443258792,415,---
270.9690578,-0.292441493,18.62286186,19.77729988,,,,,14.989,14.406,14.165,0.3,0.413244188,415,19.77729988
270.7892012,-0.305359543,22.1494503,99,,,,,13.692,13.085,12.787,0.3,0.439949542,415,---
270.5678417,-0.309659047,21.88020515,22.83234787,17.12,16.054,15.939,16.004,14.158,13.832,13.613,0.3,0.454076052,415,22.83234787
272.4890496,1.128878073,20.50923157,23.93239212,14.241,12.935,12.409,11.799,10.195,9.632,9.412,0.3,0.543109119,415,23.93239212
272.4329624,1.006872111,21.69966125,22.33564949,17.503,16.291,15.833,15.376,13.952,13.519,13.315,0.3,0.570263267,415,22.33564949
272.9902296,1.055870651,21.47934532,22.9899044,15.73,13.543,12.677,11.615,9.351,8.436,8.101,0.3,0.8000772,415,22.9899044
