casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag
							--------	--------	------	------	------	------		------	------	------
-1016860766	6.37545E+18	270.843226	-2.561160399	1.099990249	20.87360764	23.23370171	-0.2	9.1	15.21	14.135	13.739	13.409		11.833	11.557	11.403
-1016860944	6.37545E+18	271.0491237	-1.916729073	1.081931233	18.59656334	22.63383484	-93.2	-147.1	11.617	10.567	10.143	9.919		8.624	8.124	8
-1016860943	6.37545E+18	271.257109	-1.919900845	1.252804279	19.59733009	22.37770271	-5	-7.6	14.057	13.1	12.741	12.394		11.02	10.621	10.509
-1016860941	6.37545E+18	271.4786711	-1.938831452	1.358514786	21.27812767	21.34479141										
-1016860935	6.37545E+18	271.4605075	-1.946134082	1.358074546	21.13033676	21.79253578										
-1016860932	6.37545E+18	270.9744904	-1.938371362	1.023682714	20.82848167	99	-8.9	-41.2	14.833	13.809	13.448	13.094		11.656	11.17	11.087
-1016860921	6.37545E+18	271.3850322	-1.965645205	1.368070364	17.47861862	99	7.5	-8.3	9.643	8.925	8.654	7.465		6.003	5.433	5.248
-1016860919	6.37545E+18	271.0561081	-1.991967623	1.1872226	21.97825432	99										
-1016860918	6.37545E+18	271.4750691	-1.95263054	1.358074546	17.48104286	22.67120743	13.3	-29.8	12.2	11.413	11.188	10.975		9.854	9.586	9.473
-1016860916	6.37545E+18	271.4710052	-1.939894018	1.358514786	18.80319786	22.4112854										
-1016860913	6.37545E+18	271.065458	-1.999363125	1.1872226	21.61475182	99										
-1016860909	6.37545E+18	271.1804901	-2.024154169	1.242481112	22.22512436	99										
-1016860908	6.37545E+18	271.3049854	-2.024677239	1.389680386	21.85748482	24.38128662										
-1016860907	6.37545E+18	271.318089	-2.025028655	1.389680386	20.60542679	24.54265976	-7	-9.2	14.776	13.757	13.328	12.904		11.462	11.036	10.906
-1016860904	6.37545E+18	271.3493177	-2.039773616	1.411910415	22.17101669	99										
-1016860901	6.37545E+18	271.1938033	-2.04357287	1.304703116	21.1620121	99	4.7	-23.9	13.66	12.312	11.807	11.316		9.686	9.125	8.943
-1016860898	6.37545E+18	271.3998915	-2.054161687	1.429316282	22.09401321	23.04356956										
-1016860896	6.37545E+18	271.253914	-2.061171214	1.336233377	21.94893074	23.44347763										
-1016860895	6.37545E+18	271.2186522	-2.059949393	1.336078763	21.52735901	24.32948494										
-1016860894	6.37545E+18	271.5282947	-2.069028336	1.391008615	22.18404198	99										
-1016860893	6.37545E+18	271.5026424	-2.070358182	1.380396843	21.96689034	99										
-1016860891	6.37545E+18	271.3865409	-2.082228474	1.429316282	20.9949894	99	0.8	-11.4	14.915	13.827	13.427	13.013		11.554	11.158	11.039
