n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
143,6.37545E+18,273.3698848,0.506251779,0.695689499,21.97493935,---,,,,,14.784,14.039,13.917,0.3,415
144,6.37545E+18,274.0367007,0.330127428,0.794717073,20.88812828,23.88059044,12.777,11.317,10.667,9.77,8.118,7.479,7.243,0.3,415
145,6.37545E+18,274.0567375,0.316336413,0.794717073,21.77243805,23.40219116,14.06,12.463,11.826,11.111,9.331,8.591,8.392,0.3,415
146,6.37545E+18,271.5631939,-0.472686087,0.525849283,21.73958206,23.5459671,13.584,12.159,11.637,11.098,9.403,8.79,8.511,0.3,415
147,6.37545E+18,271.5310603,-0.445764777,0.482267141,14.04818916,19.24890327,7.641,6.458,,,4.801,4.163,3.981,0.3,415
148,6.37545E+18,272.021912,0.349514241,0.488566816,21.63521576,---,,,,,16.139,15.34,13.87,0.3,415
149,6.37545E+18,270.353829,-1.258360519,0.55756253,21.41929245,23.76152039,,,,,16.405,16.119,15.5,0.3,415
150,6.37545E+18,273.606351,0.406603499,0.631851733,20.20542336,22.31202126,11.103,9.31,,,5.884,5.13,4.848,0.3,415
151,6.37545E+18,273.4975192,0.409866491,0.649712086,21.64720154,---,16.592,15.33,14.787,14.252,12.578,11.877,11.695,0.3,415
152,6.37545E+18,273.4540467,0.323730158,0.659942746,22.0351429,22.91681671,16.332,14.51,13.749,12.934,10.774,9.824,9.58,0.3,415
153,6.37545E+18,273.6096697,0.301629529,0.638680756,21.95329857,---,,,,,16.778,15.955,15.595,0.3,415
154,6.37545E+18,273.8305346,0.04019046,0.724453926,18.34135056,22.59959602,11.36,9.93,9.37,8.798,7.218,6.517,6.303,0.3,415
155,6.37545E+18,271.5479199,-0.616697093,0.570989668,21.77940369,---,,,,,14.45,13.738,13.495,0.3,415
156,6.37545E+18,271.7098483,-0.792284567,0.674467802,22.12157822,---,,,,,14.433,13.71,13.492,0.3,415
157,6.37545E+18,270.5872762,-1.409122927,0.545921028,20.90161133,21.47844315,,,,,15.97,15.985,15.421,0.3,415
158,6.37545E+18,270.6551428,-1.429206989,0.588020682,21.43379974,24.49390793,13.755,11.889,11.268,10.625,8.797,7.992,7.759,0.3,415
159,6.37545E+18,270.7973748,-1.460211154,0.653656185,21.92500305,22.75701523,,,,,16.341,16.286,15.799,0.3,415
160,6.37545E+18,271.9156157,0.265457612,0.460615396,21.76292229,22.90353394,16.455,15.446,15.128,14.717,13.598,13.074,12.811,0.3,415
161,6.37545E+18,272.4957394,0.210960958,0.55742681,21.91677856,---,,,,,14.756,14.078,13.836,0.3,415
162,6.37545E+18,273.2002607,0.297502075,0.607723236,22.10313034,---,,,,,16.034,15.395,15.223,0.3,415
