casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag	Jmag	Hmag	Kmag	IR	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016871468	6.37542E+18	270.1738182	-0.578271039	0.464035273	21.96958542	23.70453835							15.586	15.172	14.338		1.734952927	6.797585419	-100	1.248	0.834
-1016829578	2.56515E+18	276.4059912	1.466606263	1.364540815	22.34813309	23.31697083	6.5	9.7	15.98	14.557	13.984	13.416	11.697	11.23	11.016		0.968837738	11.11813309	8.364133087	0.681	0.214
-1016829537	2.56515E+18	276.7054845	1.376851185	1.592489123	14.84181595	15.3359108	-15.8	15.2					9.191	9.114	8.908	1	0.494094849	5.727815948		0.283	0.206
-1016829534	2.56515E+18	276.5274308	1.300550671	1.422818065	21.64278793	24.50935364	-0.3	-2.4	14.975	13.566	13.015	12.336	10.424	10.008	9.805		2.866565704	11.63478793	8.627787933	0.619	0.203
-1016829515	2.56515E+18	276.4752137	1.20838235	1.488212109	22.84354782	23.75728607							10.481	9.292	8.73		0.913738251	13.55154782	-100	1.751	0.562
-1016875600	6.37545E+18	273.3162131	-0.712331405	1.072587609	21.52695084	22.90732384	5.5	-3.3	14.927	13.714	13.222	12.654	10.957	10.577	10.355		1.380373001	10.94995084	8.304950836	0.602	0.222
-1016875561	6.37545E+18	272.860063	-0.821195886	1.10311532	20.62897491	24.2205143	3.5	-10.5	12.222	10.833	10.318	9.715	8.134	7.484	7.28	1	3.591539383	13.14497491	10.31097491	0.854	0.204
-1016875534	6.37545E+18	273.0279221	-0.928206772	1.219807744	21.22366905	21.55946541	-7.6	21.2	16.608	14.791	14.232	12.57	10.357	9.78	9.484		0.335796356	11.44366905	6.991669052	0.873	0.296
-1016829557	2.56515E+18	275.980731	1.426246984	1.443651557	20.56122971	23.55455589	-1.1	8.2	14.529	13.135	12.585	12.06	10.384	9.977	9.775		2.993326187	10.58422971	7.976229706	0.609	0.202
-1016869146	6.37545E+18	270.6755581	-0.019035626	0.351830542	21.12262154	23.55104446	7.9	2.1	13.276	11.903	11.404	10.997	9.377	8.708	8.532		2.428422928	12.41462154	9.718621536	0.845	0.176
-1016869142	6.37545E+18	270.7983835	-0.10942686	0.355473727	21.23917198	99							12.893	12.398	12.059		-100	8.841171982		0.834	0.339
-1016875888	6.37545E+18	274.2598609	-0.063518739	0.850406289	21.15039444	99							16.563	15.559	15.092		-100	5.59139444	-100	1.471	0.467
-1016875877	6.37545E+18	274.1435395	-0.090591014	0.884688199	21.44563484	23.69925308	2.7	3.4	12.774	11.263	10.686	10.091	8.347	7.713	7.504	1	2.25361824	13.73263484	10.75963484	0.843	0.209
-1016875871	6.37545E+18	274.3068672	-0.106561018	0.837840378	21.82364464	22.2449379	-10	-20.5	14.586	13.207	12.624	11.972	10.339	9.654	9.46		0.421293259	12.16964464	9.199644638	0.879	0.194
-1016875860	6.37545E+18	274.2748903	-0.105273053	0.837840378	19.4092617	23.21738052	1.4	-1	11.646	10.262	9.752	9.208	7.671	7.114	6.893	1	3.80811882	12.2952617	9.657261703	0.778	0.221
-1016875859	6.37545E+18	274.5202878	-0.115153447	0.883354306	20.76124954	23.54413223	6.6	12.6	12.162	10.622	10.046	9.411	7.771	7.098	6.928	1	2.78288269	13.66324954	10.71524954	0.843	0.17
-1016875835	6.37545E+18	274.4982212	-0.162248137	0.862524211	20.8197155	21.83687973	-5	-5.5	15.467	14.294	13.813	13.266	12.021	11.424	11.237		1.01716423	9.3957155	7.0067155	0.784	0.187
-1016875762	6.37545E+18	274.1441966	-0.351457397	0.867477357	21.69485855	23.23950577	1.3	-2.9	16.681	15.806	15.689	15.357	13.946	13.805	13.578		1.544647217	7.889858551	6.005858551	0.368	0.227
-1016829463	2.56522E+18	277.9960486	0.776065368	2.071136236	22.39498901	23.08380127							15.87	14.86	14.475		0.688812256	7.534989014	-100	1.395	0.385
-1016829461	2.56522E+18	278.0108592	0.776608369	2.071136236	21.82184219	23.31919289							10.818	10.23	9.962	1	1.497350693	11.59184219		0.856	0.268
-1016829433	2.56522E+18	277.6495948	0.67430537	2.49704957	21.07229614	22.70871735	6.4	-11.3	16.171	14.598	13.87	12.988	10.776	9.824	9.334	1	1.636421204	11.24829614	7.202296143	1.442	0.49
-1016829422	2.56522E+18	278.0442087	0.740446793	2.074728966	22.52796364	23.01008797							16.242	15.394	15.05		0.482124329	7.133963638	-100	1.192	0.344
-1016829418	2.56522E+18	278.0031666	0.645117112	2.172780514	21.83649635	23.11573029	-19.4	-43.8	15.682	14.431	13.974	13.454	11.967	11.299	11.139		1.279233932	10.53749635	7.862496353	0.828	0.16
-1016829405	2.56522E+18	277.3059915	0.588798093	2.509523869	21.5271225	25.44970131	-6.8	-44.9	14.481	13.085	12.467	11.561	9.892	9.28	9.059	1	3.922578812	12.2471225	9.060122498	0.833	0.221
-1016829383	2.56522E+18	277.5713947	0.521144685	2.336959839	22.05120468	23.60452652	-6.2	0.2	15.143	13.509	12.809	11.791	9.623	9.156	8.838		1.553321838	12.89520468	9.242204681	0.785	0.318
-1016829332	2.56522E+18	277.2741122	0.375765214	2.300159931	19.87109375	22.39035988	5.3	-5.3	14.592	13.488	13.068	12.349	10.496	9.995	9.782	1	2.519266129	9.87609375	6.80309375	0.714	0.213
-1016829277	2.56522E+18	277.1761802	0.247681404	2.463871479	22.64154053	99							16.697	15.356	14.993		-100	7.285540527	-100	1.704	0.363
-1016829240	2.56522E+18	277.1992522	0.144586824	2.777490377	16.82648468	17.79054832	2.9	-9.4	13.275	12.244	11.795	11.198	8.673	7.435	6.321	1	0.964063644	9.39148468	5.03148468	2.352	1.114
