casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag					
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag					
							--------	--------	------	------	------	------		------	------	------	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016868736	6.37545E+18	270.9773446	-0.446913874	0.479538172	19.92681503	20.09160614											0.164791107	-100	-100	-100	-100
-1016868735	6.37545E+18	270.9968503	-0.445577944	0.479538172	19.88450241	23.68713379	-4.8	-8.3	15.207	14.534	14.224	14.043		12.596	12.253	12.118	3.802631378	7.631502411	5.660502411	0.478	0.135
-1016868731	6.37545E+18	271.1503102	-0.454089433	0.426874727	21.37850571	20.61987686											-0.758628845	-100	-100	-100	-100
-1016868729	6.37545E+18	271.2670269	-0.453641303	0.446991086	20.12516785	21.38446236	-4.8	-4.4	15.123	14.373	14.186	13.907		12.624	12.358	12.261	1.25929451	7.767167847	5.939167847	0.363	0.097
-1016868720	6.37545E+18	271.1972734	-0.45788226	0.442910016	20.82569885	99	11.1	-2.9	      	      	      			12.759	12.471	12.358	-100	8.354698853	#ЗНАЧ!	0.401	0.113
-1016868718	6.37545E+18	271.105302	-0.460567472	0.441040903	21.9530735	22.89276123	-3.9	-16.6	16.156	15.059	14.586	14.149		12.657	12.118	11.996	0.939687729	9.835073502	7.367073502	0.661	0.122
-1016868713	6.37545E+18	271.196346	-0.45266933	0.432562232	19.81189919	99	-11.5	-21.6	13.833	12.954	12.627	12.364		11.13	10.712	10.631	-100	9.099899185	7.184899185	0.499	0.081
-1016868710	6.37545E+18	271.3183644	-0.467226132	0.453770667	21.59574127	99											-100	-100	-100	-100	-100
-1016883363	6.3756E+18	270.0003008	-2.667172812	0.890428305	19.7292614	99	2.3	5.3	14.157	13.224	12.908	12.521		11.316	10.994	10.859	-100	8.735261398	6.821261398	0.457	0.135
-1016883340	6.3756E+18	270.0099684	-2.732566069	0.950669706	18.55437088	99	-6	-7	13.202	12.234	11.935	11.579		10.432	10.125	9.986	-100	8.42937088	6.61937088	0.446	0.139
-1016883291	6.3756E+18	270.0216465	-2.857740766	1.053471088	21.80562973	99											-100	-100	-100	-100	-100
-1016875398	6.3756E+18	270.0042784	-1.743179937	0.645717919	18.42268181	21.50870895	17.8	6.1	13.562	12.577	12.324	12.017		11.275	11.034	10.756	3.086027145	7.388681808	6.098681808	0.519	0.278
-1016875361	6.3756E+18	270.1599984	-1.822919074	0.598766327	20.98914909	99	        	        	15.867	14.711	14.419	14.046		12.976	12.605	12.53	-100	8.384149094	6.570149094	0.446	0.075
-1016875359	6.3756E+18	270.1231882	-1.832672352	0.595694065	22.02087212	99											-100	-100	-100	-100	-100
-1016875357	6.3756E+18	270.1344135	-1.834132906	0.595694065	20.92960739	99											-100	-100	-100	-100	-100
-1016875340	6.3756E+18	270.1629396	-1.87274204	0.607665539	20.84717369	24.29688072	11	7.5	14.894	13.677	13.336	12.894		11.571	11.175	11.055	3.449707031	9.672173691	7.511173691	0.516	0.12
